opponent,wins,draws,losses,games,win_rate,trained_against
WorkerRush,0,0,10,10,0.0,no
LightRush,0,0,10,10,0.0,no
HeavyRush,0,0,10,10,0.0,no
RangedRush,0,0,10,10,0.0,no
WorkerRushPlusPlus,0,0,10,10,0.0,no
EconomyRush,0,0,10,10,0.0,no
EconomyRushBurster,0,0,10,10,0.0,no
EconomyMilitaryRush,0,5,5,10,0.0,no
EMRDeterministico,0,0,10,10,0.0,no
SimpleEconomyRush,0,0,10,10,0.0,no
LightDefense,0,10,0,10,0.0,no
HeavyDefense,0,10,0,10,0.0,no
RangedDefense,0,10,0,10,0.0,no
WorkerDefense,0,10,0,10,0.0,no
RandomAI,0,10,0,10,0.0,no
RandomBiasedAI,0,6,4,10,0.0,yes
RandomBiasedSingleUnitAI,1,9,0,10,10.0,no
PassiveAI,0,10,0,10,0.0,yes
