opponent,status,wins,draws,losses,errors,games,win_rate,trained_against,note
WorkerRush,OK,5,0,5,0,10,50.0,yes,
LightRush,OK,10,0,0,0,10,100.0,no,
HeavyRush,OK,10,0,0,0,10,100.0,no,
RangedRush,OK,10,0,0,0,10,100.0,no,
WorkerRushPlusPlus,OK,0,5,5,0,10,0.0,no,
EconomyRush,OK,10,0,0,0,10,100.0,no,
EconomyRushBurster,OK,10,0,0,0,10,100.0,no,
EconomyMilitaryRush,OK,10,0,0,0,10,100.0,no,
EMRDeterministico,OK,10,0,0,0,10,100.0,no,
SimpleEconomyRush,OK,10,0,0,0,10,100.0,no,
LightDefense,OK,10,0,0,0,10,100.0,no,
HeavyDefense,OK,10,0,0,0,10,100.0,no,
RangedDefense,OK,10,0,0,0,10,100.0,no,
WorkerDefense,OK,0,5,5,0,10,0.0,no,
RandomAI,OK,10,0,0,0,10,100.0,no,
RandomBiasedAI,OK,10,0,0,0,10,100.0,yes,
RandomBiasedSingleUnitAI,OK,10,0,0,0,10,100.0,no,
PassiveAI,OK,10,0,0,0,10,100.0,yes,
