tournaments.RoundRobinTournament
AIs
	RandomAI
	EconomyMilitaryRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	LightDefense(AStarPathFinding)
	WorkerRush(AStarPathFinding)
	WorkerRushPlusPlus(AStarPathFinding)
	CRush_V1(AStarPathFinding)
	CRush_V2(AStarPathFinding)
maps
	C:\MicroRTS_ResearchSetup\MicroRTS\maps\10x10\basesWorkers10x10.xml
	C:\MicroRTS_ResearchSetup\MicroRTS\maps\24x24\basesWorkers24x24L.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	645	1	-1	-1
0	0	0	2	685	1	-1	-1
0	0	0	3	635	1	-1	-1
0	0	0	4	370	1	-1	-1
0	0	0	5	245	1	-1	-1
0	0	0	6	385	1	-1	-1
0	0	0	7	525	1	-1	-1
0	0	1	0	3000	-1	-1	-1
0	0	1	2	712	1	-1	-1
0	0	1	3	3000	-1	-1	-1
0	0	1	4	245	1	-1	-1
0	0	1	5	245	1	-1	-1
0	0	1	6	245	1	-1	-1
0	0	1	7	265	1	-1	-1
0	0	2	0	846	0	-1	-1
0	0	2	1	916	0	-1	-1
0	0	2	3	766	1	-1	-1
0	0	2	4	250	1	-1	-1
0	0	2	5	250	1	-1	-1
0	0	2	6	250	1	-1	-1
0	0	2	7	235	1	-1	-1
0	0	3	0	810	0	-1	-1
0	0	3	1	823	0	-1	-1
0	0	3	2	668	0	-1	-1
0	0	3	4	255	1	-1	-1
0	0	3	5	255	1	-1	-1
0	0	3	6	255	1	-1	-1
0	0	3	7	235	1	-1	-1
0	0	4	0	395	0	-1	-1
0	0	4	1	305	0	-1	-1
0	0	4	2	260	0	-1	-1
0	0	4	3	255	0	-1	-1
0	0	4	5	1510	1	-1	-1
0	0	4	6	1420	1	-1	-1
0	0	4	7	1395	1	-1	-1
0	0	5	0	320	0	-1	-1
0	0	5	1	305	0	-1	-1
0	0	5	2	260	0	-1	-1
0	0	5	3	255	0	-1	-1
0	0	5	4	1385	0	-1	-1
0	0	5	6	3000	-1	-1	-1
0	0	5	7	3000	-1	-1	-1
0	0	6	0	275	0	-1	-1
0	0	6	1	305	0	-1	-1
0	0	6	2	260	0	-1	-1
0	0	6	3	255	0	-1	-1
0	0	6	4	1385	0	-1	-1
0	0	6	5	3000	-1	-1	-1
0	0	6	7	3000	-1	-1	-1
0	0	7	0	475	0	-1	-1
0	0	7	1	305	0	-1	-1
0	0	7	2	260	0	-1	-1
